Date,DWPC,HCLD,LCLD,MCLD,PRCP,PRES,TMPC,UWND,VWND,WSPD
1/12/2010,-6.99,0,100,0,0.07,1001.5,-6.26,3.4,-4.9,5.96405902
1/12/2010,-7.62,0,100,0,0.08,1002.7,-6.86,3.3,-4.4,5.5
1/12/2010,-7.36,0,100,0,0.03,1003.8,-6.56,2.1,-2.7,3.420526275
1/12/2010,-5.09,22,90,0,0.01,1003.3,-4.16,3.1,-0.6,3.157530681
1/12/2010,-5.01,71,78,0,0,1001.9,-3.86,3,-0.3,3.014962686
1/13/2010,-8.49,11,16,2,0,1001.8,-7.66,2.5,1.2,2.773084925
1/13/2010,-8.82,3,0,0,0,1001.2,-7.96,3,2.2,3.720215048
1/13/2010,-8.38,2,0,0,0,1000.3,-7.56,2.4,3.3,4.080441153
1/13/2010,-8.09,8,0,0,0,999.1,-7.16,2.7,4.4,5.1623638
1/13/2010,-7.97,0,0,0,0,998.2,-6.96,2.7,4.6,5.333854141
1/13/2010,-6.43,0,0,0,0,997.5,-5.06,2.9,5.2,5.953990259
1/13/2010,-2.54,0,0,0,0,995.5,-0.76,3.3,5.8,6.673080248
1/13/2010,-1.05,0,0,0,0,993.6,0.34,2.8,5.4,6.08276253
1/14/2010,-2.99,0,0,0,0,993.9,-2.26,2.5,4.9,5.500909016
1/14/2010,-3.57,0,0,0,0,993.4,-2.76,2.4,5,5.54616985
1/14/2010,-3.7,0,0,0,0,993.5,-2.86,2.6,5.2,5.813776741
1/14/2010,-4.36,0,2,0,0,992.7,-2.96,2.6,5,5.635601121
1/14/2010,-4.23,10,0,0,0,992,-2.96,2.6,5.1,5.724508713
1/14/2010,-4.22,64,4,0,0,992.2,-3.26,1.9,4.3,4.701063709
1/14/2010,-2.67,45,57,0,0.01,992.4,-2.06,1.7,4.3,4.623851209
1/14/2010,0.72,15,99,0,0.08,992.4,0.94,2.3,4.5,5.053711507
1/14/2010,1.07,46,100,1,0.14,991.4,1.24,1.8,4.4,4.75394573
1/15/2010,0.79,84,100,1,0.22,992.6,1.14,2.3,4,4.614108798
1/15/2010,0.8,95,100,0,0.22,993.2,1.04,2.8,2.4,3.687817783
1/15/2010,0.71,65,100,0,0.2,993.9,0.94,2.7,0.8,2.816025568
1/15/2010,1.28,76,100,2,0,994.5,1.54,3,0.9,3.132091953
1/15/2010,0.93,46,100,0,0.11,995,1.24,2.5,-0.5,2.549509757
1/15/2010,0.4,30,100,0,0.09,996,0.74,1.1,-2.2,2.459674775
1/15/2010,-0.25,41,100,0,0.08,997.9,0.54,0.2,-2.8,2.80713377
1/15/2010,-0.15,37,100,0,0.02,997.4,1.64,-0.3,-3,3.014962686
1/15/2010,-0.59,45,99,0,0.01,997.5,1.54,0.5,-0.7,0.860232527
1/16/2010,-1.07,17,101,0,0.02,997.7,0.14,0.3,-2.5,2.517935662
1/16/2010,-1.78,43,92,2,0,997.2,-0.66,-1,-1,1.414213562
1/16/2010,-2.61,97,4,0,0,996.3,-1.96,0.2,0,0.2
1/16/2010,-2.06,99,1,0,0,997.1,-1.26,1.8,1,2.059126028
1/16/2010,-2.66,99,1,2,0,995.8,-1.96,1.1,-1.7,2.024845673
1/16/2010,-2.25,100,0,2,0,995.7,-0.26,-0.5,1.5,1.58113883
1/16/2010,-0.9,100,0,2,0,993.8,2.54,0.7,1.7,1.838477631
1/16/2010,-0.05,100,1,3,0,991.5,2.14,0.1,0.1,0.141421356
1/17/2010,-1.75,100,1,1,0,990.6,-0.46,-0.9,-1.4,1.664331698
1/17/2010,-1.66,100,4,2,0,988.7,-0.46,-2.4,0,2.4
1/17/2010,-1.39,100,2,96,0,985.6,-0.36,-1.3,-1.4,1.910497317
1/17/2010,-2.91,100,2,2,0,987.1,-1.66,-1.3,-0.3,1.334166406
1/17/2010,-3.05,100,1,3,0,985.8,-0.96,-0.2,-2.3,2.308679276
1/17/2010,-3.25,100,1,71,0,984.3,0.24,0.8,-3,3.104834939
1/17/2010,-2.01,84,0,0,0,983.2,2.34,2.3,-2.4,3.324154028
1/18/2010,-3.55,20,0,0,0,984.9,-1.36,2.4,-1.9,3.061045573
1/18/2010,-3.27,0,0,0,0,986.1,-1.76,2.6,-0.5,2.647640459
1/18/2010,-2.95,0,0,0,0,986.8,-2.06,3.4,-0.6,3.4525353
1/18/2010,-2.37,0,0,0,0,986.8,-1.46,3.1,0.4,3.125699922
1/18/2010,-3.34,4,1,0,0,986.8,-2.46,2.9,-0.7,2.983286778
1/18/2010,-3.77,14,1,6,0,987.9,-2.96,3,-0.2,3.006659276
1/18/2010,-2.5,88,0,77,0,988.9,-0.96,2.6,0.3,2.617250466
1/18/2010,-0.42,84,0,91,0,988.3,2.14,2.5,0.2,2.507987241
1/18/2010,0.14,92,0,65,0,987.4,2.34,2.2,1.1,2.459674775
1/19/2010,-1.01,100,0,99,0.17,988.2,0.34,2.2,-0.7,2.308679276
1/19/2010,-1.43,95,2,100,0.13,988.4,-0.26,1.1,-1.4,1.780449381
1/19/2010,-3.11,50,0,72,0,987.9,-2.16,0.1,-1.5,1.503329638
1/19/2010,-1.98,19,4,86,0.02,988.5,-0.66,0.6,-2.3,2.376972865
1/19/2010,-3.69,0,1,0,0,987.3,-2.66,0.3,-1.9,1.923538406
1/19/2010,-4.38,0,3,0,0,987.4,-3.56,-0.6,-2.5,2.570992026
1/19/2010,-3.9,0,0,0,0,988.6,-2.16,-1.3,-2.5,2.817800561
1/19/2010,-2.1,0,0,0,0,988.6,0.94,-1.1,-1.9,2.19544984
1/19/2010,-1.8,52,2,0,0,987.3,1.44,-1.4,-2,2.441311123
1/20/2010,-3.55,74,4,0,0,987.8,-2.16,-2.3,-1.8,2.920616373
1/20/2010,-4.56,2,3,0,0,988,-3.06,-3.2,-1.7,3.623534186
1/20/2010,-5.77,58,17,2,0,986.5,-4.06,-3.9,-0.4,3.920459157
1/20/2010,-5.3,2,13,0,0,987.9,-3.66,-3.5,-0.8,3.590264614
1/20/2010,-5.74,100,16,9,0,985.3,-3.96,-4.9,-1.1,5.021951812
1/20/2010,-5.09,100,26,93,0,984.6,-3.16,-5.8,-1.3,5.943904441
1/20/2010,-3.69,100,76,100,0.1,984.2,-1.66,-7.4,-0.7,7.433034374
1/20/2010,-1.09,96,80,100,2.32,982.5,0.14,-6.8,1.1,6.88839604
1/20/2010,-0.11,33,100,66,1.44,979.7,0.54,-7.6,1,7.665507159
1/21/2010,0.29,3,100,22,1.56,980.7,0.74,-7,1.3,7.119691005
1/21/2010,0.79,2,100,13,0.55,980.5,1.04,-6.5,1.9,6.772001181
1/21/2010,0.36,49,100,4,0,981.1,0.74,-7.4,0.3,7.406078585
1/21/2010,0.97,2,100,1,0.33,979.3,1.34,-5.6,1.1,5.707013229
1/21/2010,0.67,24,100,0,0.23,979.2,0.94,-7.5,0.9,7.553806987
1/21/2010,0.96,90,100,2,0.36,978.8,1.24,-6.9,-0.5,6.918092223
1/21/2010,1.51,100,100,4,0.49,978.8,1.74,-7.5,-0.9,7.553806987
1/21/2010,2.04,100,100,12,0.23,976.9,2.54,-7.6,-2.3,7.940403012
1/21/2010,1.84,100,100,22,0.4,975.3,2.44,-7.6,-3.5,8.367197858
1/22/2010,1.55,100,100,64,2.02,977.3,2.24,-6.7,-4,7.80320447
1/22/2010,1.59,100,100,100,0.35,978,2.24,-5.8,-4.3,7.220110802
1/22/2010,0.35,41,100,23,0,980.2,0.94,-1.3,-5.3,5.45710546
1/22/2010,1.33,90,100,100,0.06,979.3,1.84,-3.6,-3.2,4.816637832
1/22/2010,-0.06,71,100,2,0.11,980.6,0.64,-2.2,-5.4,5.830951895
1/22/2010,-0.03,99,100,0,0.02,980.6,0.64,-3.1,-3.7,4.827007354
1/22/2010,-0.03,26,100,0,0.04,983.1,0.74,-0.8,-3.4,3.492849839
1/22/2010,0.93,24,100,0,0.06,983.8,1.94,-1.5,-3,3.354101966
1/22/2010,1.38,26,100,2,0.03,983,2.24,-4,-1.8,4.38634244
1/23/2010,0.84,40,100,38,0.06,983.8,1.34,-3.6,-0.4,3.622154055
1/23/2010,1.3,93,100,78,0.1,984.4,1.74,-3.4,0.8,3.492849839
1/23/2010,1.41,97,100,8,0,985.4,1.84,-4,2.5,4.716990566
1/23/2010,2.26,89,100,6,0.18,983.6,2.64,-4.3,2,4.742362281
1/23/2010,2.38,89,100,11,0.1,983.8,2.74,-3.3,3.6,4.883646179
1/23/2010,3.1,97,100,3,0.1,982.8,3.54,-3.1,4.5,5.464430437
1/23/2010,4.23,100,100,44,0.02,982.1,4.74,-3.1,5.7,6.488451279
1/23/2010,5.58,100,100,98,0.22,980.2,6.14,-2.3,6.6,6.989277502
1/23/2010,6.59,100,100,100,0.16,976.7,7.24,-3.9,7.3,8.276472679
1/24/2010,6.94,100,100,98,0.14,974.3,7.64,-4.7,7.2,8.598255637
1/24/2010,6.89,100,100,100,0.39,971,7.84,-4.6,7.6,8.883692926
1/24/2010,4.78,100,90,100,0,966.9,5.74,-5.4,4.2,6.841052551
1/24/2010,6.23,100,100,100,15.16,966.4,7.04,-3.4,6.9,7.692203845
1/24/2010,6.46,100,100,100,10.75,958.9,7.34,-8.4,8.4,11.87939392
1/24/2010,5.67,6,100,42,3.62,960.7,6.94,7.1,9.9,12.18277472
1/24/2010,5.59,78,100,95,2.93,964.6,6.64,6.9,8.1,10.64048871
1/24/2010,3.85,98,100,99,0.68,967.2,5.34,7.8,4.6,9.055385138
1/24/2010,2.13,55,100,100,0.09,968.1,3.94,7.5,2.7,7.971198153
1/25/2010,0.68,61,100,100,0.08,970.2,2.54,7.2,0.6,7.224956747
1/25/2010,-0.88,70,59,42,0,970.7,1.14,6.1,0.2,6.103277808
1/25/2010,-2.03,28,73,2,0,970.1,-0.56,4.9,1.7,5.186520992
1/25/2010,-2.13,31,95,68,0,968.7,-0.56,5.2,0.1,5.20096145
1/25/2010,-3.08,34,100,3,0.13,968,-1.06,5.4,2.1,5.793962375
1/25/2010,-3.3,2,100,1,0.26,967.8,-1.06,5.9,3.1,6.664833081
1/25/2010,-3.16,1,100,1,0.28,968.3,-0.46,7.3,3,7.892401409
1/25/2010,-3.14,0,100,62,0.62,970,-1.06,9.7,1.8,9.865596789
1/26/2010,-4.02,0,100,100,0.76,973.2,-2.16,9.6,0.4,9.60832972
1/26/2010,-5.61,25,100,72,0.26,975.6,-3.36,9.4,-0.6,9.419129471
1/26/2010,-6.69,43,100,100,0.43,977.2,-4.46,9.5,0.2,9.50210503
1/26/2010,-6.82,47,100,95,0,976.1,-4.46,9.4,-0.4,9.408506789
1/26/2010,-8.36,0,100,7,0.19,978.2,-5.56,8.8,-2.2,9.070832376
1/26/2010,-9.53,0,100,1,0.15,981.3,-6.56,7.7,-2.5,8.095677859
1/26/2010,-9.75,0,100,0,0.16,985.3,-6.56,7.6,-1.8,7.810249676
1/26/2010,-9.52,0,100,0,0.13,987.6,-5.56,8.1,-1.8,8.297590012
1/26/2010,-9.24,0,100,0,0.09,988.8,-5.26,7.2,-2.1,7.5
1/27/2010,-9.01,0,100,0,0.04,991.1,-6.06,6.2,-1.2,6.315061362
1/27/2010,-8.93,0,100,0,0.04,992,-6.26,5.1,-0.8,5.1623638
1/27/2010,-9.12,0,97,0,0,992.9,-6.86,5.3,0.4,5.315072906
1/27/2010,-9.31,28,98,0,0.01,993.3,-6.86,5.5,0,5.5
1/27/2010,-9.79,31,41,12,0,993,-8.06,4.1,0.3,4.110960958
1/27/2010,-9.98,97,1,98,0,994.1,-7.96,3.7,1.3,3.92173431
1/27/2010,-9.35,72,2,100,0.01,995.3,-5.86,3.7,2.3,4.356604182
1/27/2010,-7.61,2,26,98,0.01,993.8,-1.96,3.4,3.7,5.024937811
1/27/2010,-6.11,0,61,100,0.05,992.5,-0.66,3.2,2.8,4.252058325
1/28/2010,-4.75,0,101,68,0.08,992,-1.86,2.3,3,3.780211634
1/28/2010,-3.81,0,51,1,0,992.2,-2.36,5,0.8,5.06359556
1/28/2010,-4.29,0,86,0,0,994.2,-2.66,5.8,-2.3,6.239390996
1/28/2010,-9.21,0,20,0,0,996.3,-7.26,5.2,-4.2,6.684309987
1/28/2010,-12.19,2,6,0,0,999.2,-9.66,4.7,-3.6,5.920304046
1/28/2010,-12.82,0,29,0,0,1002.3,-9.36,5,-4.8,6.93108938
1/28/2010,-12.48,90,53,0,0,1002.5,-7.56,3,-5.3,6.090155991
1/28/2010,-13.08,98,0,0,0,1002.4,-7.46,2,-4.8,5.2
1/29/2010,-13.9,100,0,0,0,1002,-9.56,-0.4,-4.1,4.119465985
1/29/2010,-14.45,100,0,21,0,1004.2,-10.26,0.8,-2.4,2.529822128
1/29/2010,-14.98,100,0,13,0,1001.3,-10.86,-1.3,-3.4,3.640054945
1/29/2010,-15.36,100,0,25,0,1003.8,-11.16,-0.6,-2.9,2.961418579
1/29/2010,-15.57,100,1,95,0,1003.5,-11.36,-0.4,-2.7,2.729468813
1/29/2010,-15.9,100,1,101,0,1002.9,-11.56,-1,-3.2,3.352610923
1/29/2010,-16.11,100,1,100,0,1003.2,-11.16,-2.4,-2.8,3.687817783
1/29/2010,-14.68,100,1,94,0,1001.3,-8.76,-3.1,-2.4,3.920459157
1/29/2010,-13.3,100,0,100,0,998.9,-8.06,-3.5,-1.6,3.848376281
1/30/2010,-11.97,100,0,100,0,996.9,-8.46,-3.9,-3.9,5.515432893
1/30/2010,-10.81,100,0,92,0,997.1,-8.36,-4.1,-3.8,5.590169944
1/30/2010,-10.09,100,10,100,0,996.9,-8.26,-3,-3.1,4.313930922
1/30/2010,-10.52,100,2,97,0,996.7,-8.46,-4.4,-3,5.325410782
1/30/2010,-11.36,100,1,100,0,995.5,-8.96,-4.7,-2.7,5.420332093
1/30/2010,-12.91,95,0,52,0,995,-8.86,-3.9,-3.5,5.240229003
1/30/2010,-11.3,23,2,2,0,994.2,-5.66,-2.9,-3.2,4.318564576
1/30/2010,-10.35,0,0,4,0,992.8,-4.46,-2,-2.8,3.440930107
1/31/2010,-11.08,0,0,34,0,993.3,-8.16,-1.3,-1.9,2.302172887
1/31/2010,-11.15,0,1,82,0,994.1,-8.56,-0.8,-0.6,1
1/31/2010,-11.93,0,49,24,0,993.8,-9.56,0.3,0.7,0.761577311
1/31/2010,-12.49,0,2,7,0,994.8,-9.46,0.7,0.1,0.707106781
1/31/2010,-12.24,0,3,0,0,995,-8.96,2.7,0.7,2.789265136
1/31/2010,-10.16,0,0,0,0,996.3,-6.96,3.7,0.5,3.733630941
1/31/2010,-9.61,0,0,0,0,996.1,-3.16,4.4,-0.9,4.491102315
1/31/2010,-7.77,0,0,0,0,995.5,-1.86,4.2,-0.7,4.257933771
2/1/2010,-7.4,0,8,0,0,996.4,-5.16,3,-0.8,3.104834939
2/1/2010,-7.22,0,5,0,0,997,-6.16,1.7,-1.5,2.26715681
2/1/2010,-8.11,14,1,0,0,997.1,-7.26,0.4,-1.1,1.170469991
2/1/2010,-9.12,66,0,0,0,997.8,-7.76,-0.1,-1,1.004987562
2/1/2010,-9.52,79,0,16,0,997.8,-7.96,-0.8,0.6,1
2/1/2010,-9.06,91,0,38,0,997.4,-7.26,-0.6,1.7,1.802775638
2/1/2010,-7.5,100,0,56,0,997.5,-4.26,-0.5,2.3,2.353720459
2/1/2010,-5.24,100,0,90,0,996,-0.36,-0.5,2.5,2.549509757
2/1/2010,-4.45,100,0,97,0,993.2,0.24,-1,3.5,3.640054945
2/2/2010,-5.08,46,14,83,0,993.2,-3.06,-1.1,2.5,2.731300057
2/2/2010,-4.69,1,69,100,0.01,992.9,-2.46,-0.7,2.6,2.692582404
2/2/2010,-4.22,37,71,100,0,992.4,-2.06,-0.8,3.4,3.492849839
2/2/2010,-3.47,1,97,100,0.14,990.8,-2.26,-0.1,2.7,2.701851217
2/2/2010,-3.52,0,100,3,0.04,990.4,-0.86,1.3,3.5,3.733630941
2/2/2010,-2.21,0,100,1,0.11,989.3,0.84,3.1,2.3,3.860051813
2/2/2010,-0.97,0,100,0,0.06,988.4,1.24,4.2,0.5,4.229657197
2/3/2010,-1.25,0,100,0,0.09,989.9,-0.06,3.9,-0.9,4.002499219
2/3/2010,-2.39,0,100,0,0.07,991,-0.76,3.9,-2.2,4.477722635
2/3/2010,-3.75,0,100,0,0.1,993.3,-1.76,4.5,-1,4.609772229
2/3/2010,-5.38,0,100,0,0,992.7,-3.56,4.6,-1.9,4.976946855
2/3/2010,-5.41,0,96,0,0.03,994.7,-3.76,4.7,-1.7,4.9979996
2/3/2010,-5.2,0,100,0,0.03,995.4,-3.66,3.3,-2.6,4.201190308
2/3/2010,-5.23,2,100,0,0.04,996.8,-2.66,2.1,-3.4,3.996248241
2/3/2010,-4.67,6,98,0,0.02,998,-0.76,2,-0.7,2.11896201
2/3/2010,-4.01,41,40,0,0,997.5,0.54,1.5,-2.3,2.745906044
2/4/2010,-4.61,31,2,0,0,998.8,-2.76,-1,-2.5,2.692582404
2/4/2010,-4.79,94,1,0,0,1000.3,-3.66,-1.5,-0.9,1.749285568
2/4/2010,-4.74,100,0,0,0,999.8,-3.86,-2.5,0.5,2.549509757
2/4/2010,-4.98,94,5,14,0,1000.6,-3.86,-2.2,-0.4,2.236067977
2/4/2010,-4.75,100,0,0,0,999.4,-4.06,-2.5,0.4,2.53179778
2/4/2010,-4.85,100,0,0,0,999.3,-4.16,-2.8,0.8,2.912043956
2/4/2010,-4.36,100,0,20,0,999.4,-2.46,-3.9,1.4,4.143669871
2/4/2010,-3.47,100,0,98,0,997.4,-0.06,-4.4,1.4,4.617358552
2/4/2010,-2.83,100,0,83,0.01,995.9,-0.26,-3.9,0.4,3.920459157
2/5/2010,-2.59,100,0,101,0.23,994.7,-1.06,-4.6,0.7,4.65295605
2/5/2010,-1.93,100,16,100,0.8,992.4,-0.96,-5.4,0.3,5.408326913
2/5/2010,-1.64,100,98,100,0.78,990,-0.76,-6.2,-1.2,6.315061362
2/5/2010,-2.1,100,30,100,0,991.3,-0.86,-4.5,-0.5,4.527692569
2/5/2010,-1.49,100,99,100,2.52,989.2,-0.86,-5.9,-0.6,5.930430001
2/5/2010,-1.1,68,99,100,2.64,987.3,-0.56,-5.4,-1.6,5.632051136
2/5/2010,-0.85,40,100,100,1.77,986.5,-0.16,-6.1,-2.1,6.451356447
2/5/2010,-0.08,16,100,98,0.72,984.3,0.34,-6.7,-2.5,7.151223672
2/5/2010,-0.04,3,100,100,0.58,982,0.44,-6.3,-3.9,7.409453421
2/6/2010,-0.98,1,100,72,0.36,982.6,-0.26,-6,-5.7,8.275868534
2/6/2010,-1.53,62,100,86,0.36,983.8,-0.76,-4.8,-6.1,7.762087348
2/6/2010,-1.87,92,100,58,0.24,984.6,-1.06,-3.6,-6.4,7.3430239
2/6/2010,-1.88,100,100,100,0,981.4,-1.16,-4.9,-8.7,9.984988733
2/6/2010,-2.96,100,100,100,0.4,983.1,-2.26,-3.5,-9.6,10.21812116
2/6/2010,-4.45,98,100,52,0.11,986,-3.66,-3.2,-9,9.551963149
2/6/2010,-5.29,87,100,1,0,988.7,-4.36,-3.9,-7.5,8.453401682
2/6/2010,-4.67,25,100,1,0,991,-3.66,-2.7,-6.6,7.130918594
2/6/2010,-4.52,28,38,0,0,991.3,-3.46,-2.1,-5.7,6.074537019
2/7/2010,-7.62,2,26,0,0,993.4,-6.76,-0.7,-4,4.060788101
2/7/2010,-8.97,7,21,72,0,994.5,-8.06,-1.3,-3,3.269556545
2/7/2010,-9.77,43,3,96,0,994.5,-8.76,-1.3,-2.2,2.555386468
2/7/2010,-7.55,66,4,94,0,993.9,-6.76,-1.7,-1.8,2.475883681
2/7/2010,-8.28,4,2,66,0,993.8,-7.46,-1.1,-1.6,1.941648784
2/7/2010,-9.57,0,10,6,0,993.9,-8.56,-1.9,-1.1,2.19544984
2/7/2010,-8.33,23,3,0,0,994.5,-6.66,-1.9,-0.9,2.102379604
2/7/2010,-6.38,0,15,26,0,993,-3.16,-1.9,-0.4,1.941648784
